,,Major,minor
A,220,#DADADA,#DADADA
A#,233.0818808,#B0B0B0,#B0B0B0
B,246.9416506,#DADADA,#D0D0D0
C,261.6255653,#F0F0F0,#B0B0B0
C#,277.182631,#B0B0B0,#D0D0D0
D,293.6647679,#DADADA,#D0D0D0
D#,311.1269837,#B0B0B0,#B0B0B0
E,329.6275569,#DADADA,#D0D0D0
F,349.2282314,#DADADA,#B0B0B0
F#,369.9944227,#B0B0B0,#F0B0B0
G,391.995436,#DADADA,#B0B0B0
G#,415.3046976,#B0B0B0,#D0D0D0
